"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFwm 1 /104","ESSFwm 2 /103",3.98631993258519,37.5228461538462,0.106237141933238,0.75,74.1362692307692,0.957089139314873,0.946229828207612
"ESSFwm 1 /104","ESSFwmw  /103",14.3011267324871,42.8351538461538,0.333864255136116,0.461538461538462,61.6708076923077,0.827880553958452,0.768105408902065
"ESSFwm 1 /104","ESSFwm 2 /104",14.7688851667,38.06775,0.387963175304557,0.571428571428571,64.3171826923077,0.822811064723141,0.770374190092341
"ESSFwm 1 /104","ESSFwc 4 /103b",14.2180801842596,39.6558461538462,0.358536800074826,0.642857142857143,69.2843076923077,0.840447488952673,0.794786429166583
"ESSFwm 1 /104","ESSFwm 4 /101",7.6302421224804,22.4466923076923,0.339927238182241,0.727272727272727,65.5128076923077,0.900565225906708,0.883530527979855
"ESSFwm 1 /104","ESSFwm 4 /103.2",11.4418013095294,40.1655158371041,0.284866285694748,0.692307692307692,68.6533959276018,0.871058178503357,0.833339616271927
"ESSFwm 1 /104","ESSFdkw  /101.2",3.39869883529065,19.2455384615385,0.176596713159407,0.7,69.9753076923077,0.957301746893017,0.951430026571155
"ESSFwm 1 /101","ESSFwm 2 /103",12.5027576039005,52.1952727272727,0.239538121952711,0.55,80.8947342657343,0.88314346592795,0.845444110579192
"ESSFwm 1 /101","ESSFwm 2 /110",14.9380634391681,56.7659393939394,0.263151875907527,0.6,92.8382727272727,0.876770249665575,0.839095849154248
"ESSFwm 1 /101","ESSFwm 1 /110",13.3785676425106,63.9111550802139,0.209330712701396,0.761904761904762,86.482449197861,0.887041619900428,0.845303090203861
"ESSFwm 1 /101","ESSFwm 3 /110",13.4149915433404,54.9362272727273,0.244192078876158,0.714285714285714,89.3240227272727,0.885137887181271,0.849816531614351
"ESSFwm 1 /101","ESSFwc 4 /103a",14.2996125597836,47.2657272727273,0.302536602838535,0.588235294117647,74.2087727272727,0.853849413284157,0.807305632012854
"ESSFwm 1 /101","ESSFwm 1 /111",13.2200272364376,57.3359393939394,0.230571389885259,0.608695652173913,88.4479393939394,0.887120141584046,0.85053323653413
"ESSFwm 1 /101","ESSFwm 4 /101",0,24.9225454545455,0,1,72.2712727272727,1,1
"ESSFwm 1 /101","ESSFwm 4 /110",13.2216095073355,52.82575,0.250287208555212,0.714285714285714,92.5181477272727,0.888829598836843,0.857091718412797
"ESSFwmw  /110","ESSFwm 3 /111",4.19441271650137,36.9592333333333,0.113487546634753,0.722222222222222,97.2180166666667,0.963746771687049,0.956855602898351
"ESSFwmw  /110","ESSFwcw  /110",10.3333333333333,38.6326,0.267477035802233,0.789473684210526,92.6463666666667,0.9077073310151,0.888464775197156
"ESSFwmw  /110","ESSFwm 2 /111",13.8333333333333,61.2399333333333,0.225887465586181,0.625,90.7333666666667,0.886007800911938,0.847538630588306
"ESSFwmw  /110","ESSFdcw  /110",7.86374407582938,43.4800666666667,0.180858602083469,0.647058823529412,78.3333666666667,0.921420236787904,0.899611820473744
"ESSFwm 2 /102","ESSFwm 2 /104",14.3885869565217,42.90875,0.335329902561173,0.692307692307692,53.454375,0.807918474723958,0.730824895875749
"ESSFwm 2 /102","ESSFwc 4 /102",5.83879729191557,38.335,0.152309828926975,0.692307692307692,57.4075,0.923750606700417,0.898292082185854
"ESSFwm 2 /102","ESSFwm 3 /102",9.34752941176471,46.35,0.201672694967955,0.538461538461538,46.175,0.865212265151194,0.79756297971273
"ESSFwm 2 /102","ESSFwmw  /102",8.25581395348837,37.86,0.21806164694898,0.615384615384615,39.87,0.859595000791014,0.79293167911993
"ESSFwm 2 /102","ESSFwcw  /102",11.5228260869565,32.705,0.352326130162254,0.5,43.8525,0.808606825231185,0.737236734805164
"ESSFwm 2 /102","ESSFwh 2 /102",11.6820588235294,35.3,0.33093651058157,0.5,36.75,0.785256271626298,0.682120848339336
"ESSFwm 2 /103","ESSFwh 2 /103",9.76280727162384,42.0229230769231,0.232320994276219,0.705882352941176,72.8674615384615,0.896006398969614,0.866019660003241
"ESSFwm 2 /103","ESSFwh 3 /104.1",11.8599451654372,42.7612955465587,0.277352334952621,0.5625,76.7237246963563,0.879108903437429,0.84542010685255
"ESSFwm 2 /103","ESSFwm 2 /104",14.7221837454491,44.3735576923077,0.33177830471775,0.5,69.9278365384615,0.840175376252964,0.789466048512002
"ESSFwm 2 /103","ESSFwm 3 /103",11.9202331013318,43.8710735785953,0.271710540203139,0.733333333333333,67.5684397993311,0.866818955361965,0.82358282747488
"ESSFwm 2 /103","ESSFwc 4 /103a",13.1102564102564,36.9973076923077,0.354357039146993,0.75,73.0609615384615,0.856811801194402,0.82055729716403
"ESSFwm 2 /103","ESSFwm 4 /101",5.15894668644052,40.93,0.126043163607147,0.5625,71.1234615384615,0.943672525995274,0.927464909962928
"ESSFwm 2 /103","ESSFwm 4 /103.2",3.22305724965572,31.8066515837104,0.101332805849528,0.8,74.2640497737557,0.964254729280543,0.956600033805391
"ESSFwmw  /101","ESSFwmw  /103",8.69779159545099,27.684,0.314181173076542,0.636363636363636,51.158,0.866187821608446,0.829981789838325
"ESSFwmw  /101","ESSFwm 2 /104",7.90865384615385,32.60875,0.24253164706264,0.545454545454545,53.804375,0.887194482198672,0.853010952247771
